Идентификатор,Наименование,Адрес,Выручка 2020,Выручка 2021,Выручка 2022,Дельта по выручке,Число сотрудников 2020,Число сотрудников 2021,Число сотрудников 2022,Дельта по сотрудникам
242267,Крафтейнер,"город Москва, Большая Новодмитровская улица, дом 36, строение 7",23388618.0,27390432.0,39944137.0,16555519.0,8.0,19.0,12.0,4.0
26847,Rioba,"город Москва, Ленинградское шоссе, дом 71Г",21174932.0,39575648.0,37705949.0,16531017.0,14.0,,8.0,-6.0
161175,Домино'с Пицца,"город Москва, Нахимовский проспект, дом 25, корпус 1",20555080.0,,37020358.0,16465278.0,7.0,,7.0,0.0
22981,РЕСТОРАН Кафедра вкуса,"город Москва, Ломоносовский проспект, дом 29, корпус 3",22574851.0,28603907.0,38883271.0,16308420.0,11.0,,12.0,1.0
222220,Теремок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Кронштадтский бульвар, дом 3А, строение 1",23226093.0,27775333.0,39527952.0,16301859.0,12.0,17.0,17.0,5.0
287245,Теремок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 75",20697255.0,37009527.0,36936218.0,16238963.0,19.0,12.0,8.0,-11.0
306078,LOKAL BEER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Лобненская улица, дом 13, корпус 1",20797712.0,21554357.0,36943777.0,16146065.0,16.0,8.0,7.0,-9.0
229911,Кофейня РАФ and СТАФФ,"город Москва, Каширское шоссе, дом 65, корпус 1",22560028.0,25550131.0,38702310.0,16142282.0,13.0,11.0,8.0,-5.0
196230,Cappuccino Kids,"город Москва, проектируемый проезд № 4062, дом 6, строение 2",23804004.0,27846820.0,39903261.0,16099257.0,9.0,,15.0,6.0
273989,Пекарня «Домик пекаря»,"город Москва, Ленинский проспект, дом 129, корпус 2",22688700.0,34076674.0,38747214.0,16058514.0,6.0,,8.0,2.0
340557,Folk,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Цветной бульвар, дом 2, квартира 92/93",20150160.0,,36044133.0,15893973.0,11.0,11.0,18.0,7.0
119617,Krispy Krem,"город Москва, Цветной бульвар, дом 21, строение 1",20456583.0,,36275143.0,15818560.0,13.0,19.0,13.0,0.0
219135,Емеля,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, шоссе Энтузиастов, дом 12, корпус 2",23045904.0,28406980.0,38801124.0,15755220.0,17.0,19.0,8.0,-9.0
346361,Суши Стор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Хабаровская улица, дом 15",23947217.0,37795496.0,39621682.0,15674465.0,13.0,,16.0,3.0
373801,Хинкальная City,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 19",23323144.0,23041847.0,38927373.0,15604229.0,17.0,,18.0,1.0
320866,Во кофии,"город Москва, Тимирязевская улица, дом 2/3",22211364.0,28386977.0,37702308.0,15490944.0,7.0,,13.0,6.0
285157,Promenade Lounge,"город Москва, Ленинградский проспект, дом 36, строение 33",23406750.0,37020438.0,38790481.0,15383731.0,17.0,17.0,11.0,-6.0
24126,Кофе Хауз,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, улица Сретенка, дом 36",20993799.0,,36312554.0,15318755.0,16.0,10.0,8.0,-8.0
310083,Bey Dondurma,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4",24494053.0,25920549.0,39808178.0,15314125.0,8.0,,7.0,-1.0
356076,Радиола,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Нижегородская улица, дом 32, строение 3",23043507.0,36717534.0,38355243.0,15311736.0,7.0,9.0,13.0,6.0
291335,Мини-пекарня,"город Москва, город Троицк, микрорайон ""В"", дом 39",22973157.0,24458520.0,38279465.0,15306308.0,9.0,,14.0,5.0
164245,Домино'с Пицца,"город Москва, Ленинградское шоссе, дом 58, строение 26",22118756.0,37090508.0,37412128.0,15293372.0,12.0,18.0,15.0,3.0
29079,Школьно-базовая столовая,"город Москва, улица Адмирала Руднева, дом 16, корпус 1",21171572.0,33411196.0,36447293.0,15275721.0,18.0,,18.0,0.0
363293,Castle DisH,"город Москва, Большой Харитоньевский переулок, дом 25",21142654.0,,36384988.0,15242334.0,13.0,11.0,18.0,5.0
150783,СушиШоп,"город Москва, Алтуфьевское шоссе, дом 84",22898668.0,,38121370.0,15222702.0,13.0,14.0,12.0,-1.0
362833,CofeFest,"город Москва, Новогиреевская улица, дом 1, корпус 4",22826883.0,39411186.0,38009236.0,15182353.0,12.0,8.0,16.0,4.0
293137,Lucky Bean CAFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Дубининская улица, дом 71, строение 6",20056031.0,31190605.0,35201288.0,15145257.0,12.0,,8.0,-4.0
331486,Кахури,"город Москва, Чертановская улица, дом 47",23866247.0,30354865.0,38877448.0,15011201.0,13.0,,14.0,1.0
370025,Кафе «Теремок»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Чертановская улица, дом 1Г",23365917.0,23745832.0,38308754.0,14942837.0,19.0,14.0,17.0,-2.0
192231,Доннер (шаурма),"город Москва, улица Дудинка, дом 1",20367972.0,21200958.0,35250063.0,14882091.0,8.0,14.0,13.0,5.0
24746,Шоколадница,"город Москва, Зубовский бульвар, дом 17, строение 1",23382368.0,39109516.0,38218033.0,14835665.0,15.0,,14.0,-1.0
350222,One price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6",22056424.0,29481933.0,36891267.0,14834843.0,19.0,12.0,7.0,-12.0
359101,Кафе «Marie»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1",21402919.0,36312738.0,36225652.0,14822733.0,11.0,7.0,10.0,-1.0
361504,Чистая линия,"город Москва, проспект Вернадского, дом 86А",21098761.0,38813594.0,35907662.0,14808901.0,13.0,,17.0,4.0
25938,Никольский парк,"город Москва, город Зеленоград, Никольский проезд, дом 5",22134063.0,39727480.0,36896035.0,14761972.0,15.0,17.0,7.0,-8.0
261158,Кафетерий,"город Москва, Оренбургская улица, дом 32, строение 5",23367420.0,38022764.0,38127414.0,14759994.0,14.0,7.0,17.0,3.0
279791,ГРИНДЕЙ,"город Москва, Производственная улица, дом 10, корпус 1",24984584.0,,39720831.0,14736247.0,16.0,13.0,18.0,2.0
214345,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Поречная улица, дом 10",23332177.0,30529213.0,38045726.0,14713549.0,8.0,7.0,16.0,8.0
215637,FLAT WHITE,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1",25090722.0,39883129.0,39785015.0,14694293.0,10.0,,17.0,7.0
349004,Табера,"город Москва, Новокузнецкая улица, дом 29, строение 2",20292761.0,,34980199.0,14687438.0,16.0,7.0,13.0,-3.0
339883,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Каланчёвская улица, дом 13",21509056.0,26403875.0,36151584.0,14642528.0,15.0,12.0,11.0,-4.0
244275,Шаурмалоп,"город Москва, город Троицк, Сиреневый бульвар, дом 1",21036965.0,25763814.0,35679202.0,14642237.0,14.0,,11.0,-3.0
291562,"Вкусно по-домашнему, Донер кебаб №1","Сокольническая площадь, дом 4, корпус 1-2, помещение 4П",23462639.0,34199702.0,38084602.0,14621963.0,18.0,,8.0,-10.0
360302,Alex fitness KAFE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",22894046.0,,37500712.0,14606666.0,16.0,19.0,9.0,-7.0
319224,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 31",24870374.0,,39446124.0,14575750.0,19.0,6.0,7.0,-12.0
289985,EAT STREET,"город Москва, Планетная улица, дом 45",20487059.0,37018002.0,35054807.0,14567748.0,17.0,,16.0,-1.0
157415,Служебная столовая,"город Москва, Краснопресненская набережная, дом 12",21188258.0,26705090.0,35755354.0,14567096.0,9.0,15.0,18.0,9.0
188878,Шаурма,"город Москва, Бойцовая улица, дом 12, строение 1",22753091.0,,37249756.0,14496665.0,10.0,7.0,9.0,-1.0
304881,Кафе ВкусВилл,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, улица Сретенка, дом 26/1",24973359.0,30475948.0,39455816.0,14482457.0,11.0,12.0,8.0,-3.0
29194,ГБОУ школа №236,"город Москва, Коровинское шоссе, дом 24А",24669538.0,,38977141.0,14307603.0,13.0,10.0,18.0,5.0
232723,Милти,"город Москва, 3-я Парковая улица, дом 24",23426839.0,,37721600.0,14294761.0,6.0,17.0,12.0,6.0
349330,Belgian Beer Cafe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Цветной бульвар, дом 2, квартира 92/93",21109734.0,29165375.0,35356484.0,14246750.0,11.0,,7.0,-4.0
307053,Шоколадница,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 40",22815174.0,20253617.0,37029559.0,14214385.0,10.0,,11.0,1.0
164876,Шаурма,"город Москва, город Московский, Радужная улица, дом 13, корпус 3",21055926.0,25892041.0,35250084.0,14194158.0,10.0,6.0,7.0,-3.0
129244,Типси паб,"город Москва, Сущёвская улица, дом 9",23531041.0,30527062.0,37708095.0,14177054.0,14.0,,15.0,1.0
338108,Stardogs,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Вавилова, дом 15",22477965.0,,36543018.0,14065053.0,11.0,12.0,8.0,-3.0
137325,Школа №2073,"город Москва, поселение Кленовское, село Кленово, Центральная улица, дом 2",22888081.0,20074304.0,36896146.0,14008065.0,11.0,,16.0,5.0
27873,Буфет при ВУЗе,"город Москва, Большая Переяславская улица, дом 50, строение 1",22593674.0,32685241.0,36559724.0,13966050.0,13.0,7.0,14.0,1.0
70130,Нью-Йорк пицца и гриль,"город Москва, Суворовская улица, дом 12",21353642.0,35081867.0,35263941.0,13910299.0,10.0,17.0,9.0,-1.0
284241,Бургер Кинг,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 12",22071016.0,21255878.0,35907692.0,13836676.0,8.0,19.0,8.0,0.0
204469,Кафейня Кофе мира,"город Москва, Хлебозаводский проезд, дом 7, строение 10",23438028.0,27894871.0,37265585.0,13827557.0,6.0,13.0,18.0,12.0
328689,Londri,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Дмитровский переулок, дом 11",25246461.0,31717274.0,39048351.0,13801890.0,11.0,,16.0,5.0
362319,ББ&Бургер,"улица Дыбенко, дом 7/1, строение 1",24953754.0,20956060.0,38725597.0,13771843.0,14.0,,17.0,3.0
365888,Llamita,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Старая Басманная улица, дом 5, строение 1",23724265.0,26545269.0,37426479.0,13702214.0,15.0,15.0,15.0,0.0
311166,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Сигнальный проезд, дом 17",21084342.0,,34739225.0,13654883.0,16.0,10.0,18.0,2.0
169717,Шикари,"город Москва, Комсомольский проспект, дом 28",20497558.0,26545015.0,34126440.0,13628882.0,7.0,12.0,8.0,1.0
267659,Пянсе,"город Москва, поселение Московский, деревня Лапшинка, владение 8, корпус 1",26296889.0,,39918512.0,13621623.0,13.0,13.0,13.0,0.0
231840,"Пекарня, шашлык, шаурма на углях","Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Поляны, дом 57",21796523.0,,35400949.0,13604426.0,8.0,17.0,17.0,9.0
278350,«Изумруд» Бильярдный клуб Бар Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Люблинская улица, дом 126",22610807.0,,36190382.0,13579575.0,6.0,18.0,17.0,11.0
126108,Хмель и солод,"город Москва, Сиреневый бульвар, дом 44",22994590.0,,36548721.0,13554131.0,11.0,6.0,15.0,4.0
25226,Берёзовая Роща,"город Москва, улица Куусинена, дом 8А",25267802.0,33415002.0,38817991.0,13550189.0,11.0,16.0,14.0,3.0
365843,Пицца «Экспрес 24»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Алма-Атинская улица, дом 1",23943786.0,,37488478.0,13544692.0,16.0,15.0,16.0,0.0
247393,Пивотека Савела,"город Москва, Новодмитровская улица, дом 2, корпус 6",24899129.0,30064090.0,38393359.0,13494230.0,19.0,17.0,9.0,-10.0
21437,СТОЛОВАЯ КОЛОРИТ КАДЕТСКОГО КОРПУСА № 1783,"город Москва, 3-я Новоостанкинская улица, дом 6",23479786.0,33005884.0,36911657.0,13431871.0,18.0,15.0,14.0,-4.0
248454,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевническая улица, дом 7, строение 1",22550069.0,37135557.0,35971103.0,13421034.0,11.0,19.0,13.0,2.0
296458,Кофе с собой,"город Москва, улица Дмитрия Ульянова, дом 27",25230806.0,32930252.0,38561622.0,13330816.0,11.0,9.0,10.0,-1.0
227869,Blanc,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Хохловский переулок, дом 7-9, строение 2",24985220.0,27734354.0,38313396.0,13328176.0,6.0,18.0,10.0,4.0
281619,Брусника,"город Москва, Краснопролетарская улица, дом 16, строение 1",23856928.0,,37156078.0,13299150.0,13.0,13.0,10.0,-3.0
192911,Прайм стар,"город Москва, Нижний Сусальный переулок, дом 5, строение 2",26355727.0,35216684.0,39635831.0,13280104.0,12.0,12.0,9.0,-3.0
27945,Аркада,"город Москва, Графский переулок, дом 14, корпус 1",22221818.0,,35451334.0,13229516.0,15.0,11.0,14.0,-1.0
360704,Кафе,"город Москва, город Троицк, 42-й километр Калужского шоссе, дом 8",21897677.0,26247517.0,35116321.0,13218644.0,16.0,,9.0,-7.0
289438,My lounge room,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Гарднеровский переулок, дом 3, строение 4",20539548.0,,33704674.0,13165126.0,8.0,8.0,18.0,10.0
323127,Ресторан Виноградово,"город Москва, Дмитровское шоссе, дом 171",20454018.0,34384431.0,33581143.0,13127125.0,9.0,11.0,17.0,8.0
359352,Domino's Pizza,"город Москва, улица Федосьино, владение 12",23879639.0,20150983.0,37002066.0,13122427.0,13.0,,14.0,1.0
29068,Столовая,"город Москва, Ломоносовский проспект, дом 21",22400421.0,26852209.0,35485454.0,13085033.0,16.0,,19.0,3.0
20821,Теремок,"город Москва, Ладожская улица, дом 5",25844249.0,,38917013.0,13072764.0,17.0,15.0,19.0,2.0
22021,Кафе «Кружка»,"город Москва, Нижняя Радищевская улица, дом 10, строение 1",26119787.0,31801710.0,39184338.0,13064551.0,8.0,16.0,14.0,6.0
363601,Cotto,"город Москва, Лазоревый проезд, дом 3, машино-место 148",22087043.0,23018509.0,35123652.0,13036609.0,17.0,,16.0,-1.0
26267,Ресторан «Усадьба»,"город Москва, Дольская улица, дом 10, строение 1",20354557.0,39002309.0,33320525.0,12965968.0,18.0,,12.0,-6.0
357899,Шаурма,"город Москва, Совхозная улица, дом 41",21182393.0,,34124195.0,12941802.0,14.0,8.0,7.0,-7.0
313054,CROSBY COFFEE,"город Москва, Новая Басманная улица, дом 14, строение 7",22453123.0,33237977.0,35383003.0,12929880.0,10.0,10.0,15.0,5.0
276931,Right coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Кузнецкий Мост, дом 9/10, строение 1",21432832.0,21856668.0,34350924.0,12918092.0,15.0,,16.0,1.0
346636,MODI,"Российская Федерация, город Москва, внутригородская территория поселение Московский, деревня Лапшинка, земельный участок 8Д",26592982.0,30093097.0,39366126.0,12773144.0,16.0,16.0,19.0,3.0
265588,Кофейня,"город Москва, Большая Тульская улица, дом 10, строение 5",20266055.0,31347280.0,33039011.0,12772956.0,8.0,7.0,17.0,9.0
330230,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 8А",21554495.0,,34152807.0,12598312.0,18.0,12.0,8.0,-10.0
27128,Якитория,"город Москва, Авиамоторная улица, дом 41",23801335.0,38048046.0,36367593.0,12566258.0,17.0,19.0,15.0,-2.0
288004,Smart Food,"город Москва, Крылатская улица, дом 17, корпус 1",24026537.0,35398795.0,36581848.0,12555311.0,17.0,,9.0,-8.0
22921,Ресторан «Пивной дворик»,"город Москва, Ленинский проспект, дом 146",21597172.0,,34150047.0,12552875.0,7.0,9.0,10.0,3.0
299220,Pizza Hut,"город Москва, Краснопролетарская улица, дом 16, строение 2",26829613.0,,39372850.0,12543237.0,10.0,13.0,8.0,-2.0
262952,Вкусно - и точка,"город Москва, Ленинградское шоссе, дом 16А, строение 8",24242056.0,25522214.0,36764403.0,12522347.0,17.0,13.0,7.0,-10.0
370811,Cherry Coffe,"город Москва, улица Пришвина, дом 22",24740565.0,,37215368.0,12474803.0,18.0,14.0,9.0,-9.0
349621,TODA PIZZA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Складочная улица, дом 8, корпус 1",25840896.0,,38253969.0,12413073.0,6.0,,11.0,5.0
357943,Хинкали Gали,"город Москва, улица Речников, дом 32",21096832.0,25969869.0,33478836.0,12382004.0,16.0,,17.0,1.0
172407,Кебаб,"город Москва, улица Лескова, дом 22Г",24490176.0,28652520.0,36847824.0,12357648.0,6.0,,7.0,1.0
278103,Black Jack Coffee,"город Москва, Гостиничный проезд, дом 4Б",20002857.0,26634421.0,32277646.0,12274789.0,13.0,10.0,17.0,4.0
345148,ДоДо,"город Москва, Осенний бульвар, дом 12",23093429.0,,35348462.0,12255033.0,9.0,6.0,16.0,7.0
354200,Хайям-Кебаб,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, владение 1",27289571.0,,39522692.0,12233121.0,8.0,12.0,18.0,10.0
182175,Столовая,"город Москва, Живописная улица, дом 28",26526859.0,20476963.0,38755432.0,12228573.0,12.0,13.0,17.0,5.0
26271,Семь красавиц,"город Москва, Тамбовская улица, дом 4",21105715.0,35911099.0,33302947.0,12197232.0,15.0,,14.0,-1.0
292792,ONE AND DOUBLE кофе выпечка десерты,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 12, корпус 2",24033805.0,,36226728.0,12192923.0,15.0,13.0,17.0,2.0
255238,Гриль Хаус,"город Москва, Автозаводская улица, дом 18",24536159.0,26538859.0,36677597.0,12141438.0,14.0,,9.0,-5.0
23080,ОЧАГ,"город Москва, Олонецкая улица, дом 21Б",27864655.0,32693911.0,39977120.0,12112465.0,10.0,,15.0,5.0
314423,ГБОУ ШКОЛА 1542,"город Москва, Производственная улица, дом 3, корпус 2",20032894.0,34254202.0,32132847.0,12099953.0,19.0,,12.0,-7.0
286939,Brunch Time,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, площадь Юности, дом 2, строение 1",24193538.0,33100690.0,36256293.0,12062755.0,15.0,,6.0,-9.0
361430,Это не молоко,"город Москва, Алтуфьевское шоссе, дом 22",20118138.0,,32163759.0,12045621.0,14.0,,7.0,-7.0
297087,Coba,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новая площадь, дом 10",20606477.0,34871816.0,32598226.0,11991749.0,16.0,,18.0,2.0
348739,Темаки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, улица Дмитриевского, дом 1",23127676.0,29135606.0,35094115.0,11966439.0,14.0,7.0,18.0,4.0
289874,КОФЕМАНИЯ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 1А",27556917.0,26519834.0,39519359.0,11962442.0,16.0,14.0,8.0,-8.0
25008,БАКЛАЖАН,"город Москва, Николоямская улица, дом 29, строение 3",23860006.0,,35747014.0,11887008.0,15.0,8.0,11.0,-4.0
366752,Бар «Салют»,"город Москва, Багратионовский проезд, дом 1А, корпус 1",25833321.0,,37718924.0,11885603.0,15.0,14.0,10.0,-5.0
23375,САМОКАТ-КЭТТЕРИНГ,"город Москва, Самокатная улица, дом 2, строение 1",22582693.0,23177886.0,34459036.0,11876343.0,12.0,,11.0,-1.0
283036,Кофейник«CoffeNat»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 26",25657373.0,,37532767.0,11875394.0,12.0,7.0,10.0,-2.0
345440,PRIME PIZZA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Панфилова, дом 11",25922101.0,22229960.0,37783662.0,11861561.0,13.0,,18.0,5.0
29305,Столовая в школе № 2129,"город Москва, 2-й Южнопортовый проезд, дом 11, строение 1",27344552.0,30503898.0,39161873.0,11817321.0,9.0,,14.0,5.0
284479,Кофе с собой «Бодрость»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Дербеневская набережная, дом 7, строение 13",26438072.0,34683094.0,38251447.0,11813375.0,10.0,,8.0,-2.0
322377,Star hit Cafe,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",25901358.0,34931528.0,37712057.0,11810699.0,8.0,,11.0,3.0
19727,КП МГУ буфет 146,"город Москва, территория Ленинские Горы, дом 1",26257455.0,27300658.0,38039622.0,11782167.0,8.0,,11.0,3.0
184000,Шаурма Кебаб МД,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, проспект 60-летия Октября, дом 25, корпус 1",28276969.0,,39986793.0,11709824.0,7.0,19.0,14.0,7.0
223302,Ресторан Вьетнамской кухни ГАО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Летниковская улица, дом 4, строение 5",24313602.0,,35995043.0,11681441.0,12.0,19.0,12.0,0.0
310169,Gallo Doro Пицца &гриль,"город Москва, Саввинская набережная, дом 25, строение 1",25529474.0,,37207590.0,11678116.0,18.0,18.0,12.0,-6.0
353612,Кафе при салоне красоты Dessange,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Зубовский бульвар, дом 31-33",27553146.0,,39206873.0,11653727.0,19.0,,19.0,0.0
80709,Среда,"город Москва, Крылатская улица, дом 1",21669182.0,39135114.0,33287292.0,11618110.0,19.0,16.0,16.0,-3.0
343830,Компотик,"город Москва, улица Народного Ополчения, дом 40, корпус 4",21610321.0,35974931.0,33183638.0,11573317.0,19.0,,19.0,0.0
339505,Все Ем,"город Москва, Большая Семёновская улица, дом 17А",20269203.0,30351069.0,31814773.0,11545570.0,12.0,16.0,7.0,-5.0
275091,Забыли сахар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",23122338.0,,34635427.0,11513089.0,11.0,,6.0,-5.0
185873,KFC,"город Москва, улица Бунинская Аллея, владение 7",21012689.0,39654584.0,32515576.0,11502887.0,18.0,6.0,19.0,1.0
184444,Чайхона OLIVE,"город Москва, Новоясеневский проспект, дом 1",22492347.0,32591129.0,33993833.0,11501486.0,6.0,10.0,16.0,10.0
261826,Harvey&Monica,"город Москва, Котельническая набережная, дом 31",26559302.0,37865147.0,38060224.0,11500922.0,15.0,,8.0,-7.0
345614,СушиСтор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Боровское шоссе, дом 6",21948322.0,37649936.0,33382094.0,11433772.0,6.0,19.0,15.0,9.0
340211,TRIGGER BAR,"город Москва, Варшавское шоссе, дом 45",26562947.0,21221242.0,37948829.0,11385882.0,14.0,11.0,15.0,1.0
354429,Бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, 4-й Сыромятнический переулок, дом 1, строение 3",26475101.0,20064743.0,37833310.0,11358209.0,14.0,15.0,10.0,-4.0
361750,Суши Wok,"Российская Федерация, город Москва, город Щербинка, улица 40 лет Октября, дом 3",28475011.0,29044853.0,39748570.0,11273559.0,11.0,10.0,17.0,6.0
