Идентификатор,Наименование,Адрес
365961,Каравай СВ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 112"
20704,БИРХАУС,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 124, корпус 4"
322097,Алиса,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Касаткина, дом 11, строение 2"
374718,Ikra,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Большая Никитская улица, дом 5"
355822,Мидзути,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Малый Николопесковский переулок, дом 4"
330597,Correas,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Романов переулок, дом 4, строение 2"
340053,Bruxelles,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Смоленская улица, дом 8"
26843,РИТМ БЛЮЗ КАФЕ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Староваганьковский переулок, дом 19, строение 2"
280827,КОФЕПОРТ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 1"
290845,Шаурма Алладин,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 20"
344750,One price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 20"
316878,Выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Красноармейская улица, дом 5"
288200,CINNABON,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 62А"
306088,Кубдари,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, земельный участок 70"
306135,БАБЛ ТИ NOVA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, земельный участок 70"
306144,POKE WAVE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, земельный участок 70"
370727,Крутые желтки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, земельный участок 70"
277918,КАФЕ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Часовая улица, дом 11"
297828,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица 8 Марта, дом 1, строение 12"
372849,KEBABUSHKI,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Лётчика Бабушкина, дом 1, корпус 3"
284275,Мята Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бакунинская улица, дом 23-41"
288658,La Veranda,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Козловский переулок, дом 4, строение 4"
306468,One Price Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Верхний Сусальный переулок, дом 4/6, строение 3"
345146,Tsentsiper,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Кривоколенный переулок, дом 9, строение 3"
202130,Старый Сычуань,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 25, строение 2"
284246,Beerhappens Jr,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 25, строение 2"
359403,Кафе с видом на Политех,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 7, строение 1"
284475,Антикафе Гнездо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лялин переулок, дом 8, строение 2"
222708,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 14/2, строение 1"
289152,Burger Heroes,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 38, строение 1"
365875,БАZZAP,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 38, строение 1"
306014,One Special,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижний Сусальный переулок, дом 5, строение 11"
231776,Пиццерия Везувия,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 59"
339919,Тянь гун,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 59"
337861,Мята lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 9"
362608,Вафля,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Сыромятническая улица, дом 10, строение 11"
284261,Успех,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Ольховская улица, дом 14, строение 2"
284481,Spot,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Садовая-Черногрязская улица, дом 8, строение 6"
158074,Ароматная река,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, набережная Академика Туполева, дом 15, корпус 2"
324899,Пекарня МаМан,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 3/1, строение 6"
284250,Двор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 7"
364910,Игроки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Казакова, дом 8, строение 2"
187542,Раменная Tegari,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
264603,Вьетнамская кухня Pho Viet,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
264606,Вьетнамская кухня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
264610,TABOO BAR BEER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
276710,OnePriceCoffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
309790,Табак,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
309803,Корнер «Куркума»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
339661,Три Утки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
339666,Chipock,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1"
285646,Ни свет ни заря,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 41, строение 1"
167436,Harat's Pub,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 6"
300286,Salude,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 6"
321088,Очаг,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дмитровское шоссе, дом 72"
373068,Чайхона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дмитровское шоссе, дом 72"
359134,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Алтуфьевское шоссе, дом 72"
325915,Шаурма корона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 12А"
370881,Мангал Бургер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 4, корпус 1, строение 1"
172614,Бургер Кинг,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Пришвина, дом 26"
189466,Кафе «Хистеварз»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Касимовская улица, дом 31, корпус 1"
296813,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Ряжская улица, дом 13, корпус 1"
24437,Идиллия,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Бойцовая улица, дом 17, корпус 1"
337614,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 6, корпус 1"
365843,Пицца «Экспрес 24»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Алма-Атинская улица, дом 1"
143142,Теремок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Бесединское шоссе, дом 15"
360275,Чайхана «Анас»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 31А"
346728,СушиШоп,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Ключевая улица, дом 10, корпус 1"
368202,Кофейня «Адама»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 14, корпус 3"
85374,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 26, корпус 2"
329190,Пиццерия « Little ceasars»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 26, корпус 2"
358660,One price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 4"
356953,Чайхана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 84"
298419,ПРАВDА Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 86Б"
194315,Stars Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 1, строение 1"
225763,Причал моряка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 1, строение 1"
315867,Крафтейнер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 1, строение 1"
213818,Юрта,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 5А, строение 2"
365031,Жить Хорошо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1, строение 13"
366862,Станция Савеловская,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1, строение 15"
356797,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1, строение 6"
277078,Лагманная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1Д, строение 1"
259013,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, площадь Савёловского Вокзала, дом 2"
316508,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 18"
244210,Пекарня «Булки»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 18Б"
356639,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 18Б"
142938,TORRO GRILL,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 16А, строение 4"
242385,Столовая ГБОУ г. Москвы «Школа № 1678»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Дегунино, Дубнинская улица, дом 73Б"
239325,Оазис,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Дегунино, Дубнинская улица, дом 79"
365566,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Дегунино, улица 800-летия Москвы, дом 22, корпус 2"
306011,Enjoy lounge bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Самаркандский бульвар, дом 8"
362678,Red,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Ферганский проезд, дом 10А, строение 3"
366903,Лепешка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, улица Генерала Кузнецова, дом 16, корпус 1"
223439,Донер Кебаб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 39/1"
201157,Cooffee Moose,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ломоносовский проспект, дом 23, квартира 368, комната 1"
23863,АНДЖЕЛО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, проспект 60-летия Октября, дом 5, корпус 3"
327221,КАФЕТЕРРИЯ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 24, корпус 1"
302062,Сушисет,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 48"
253132,Клевое Бистро,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 64/1, строение 1"
309298,Очаг,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 64/1, строение 1"
332126,Кафе «ONE PRICE COFFEE»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 64/1, строение 1"
206881,Chee-chee Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 19, строение 1А"
324535,Мамина выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 19, строение 1А"
25274,Старый дворик,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Байкальская улица, дом 31"
24442,Анненфельд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Уральская улица, дом 17"
332261,Пекарня «Дом хлеба»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Уральская улица, дом 1А"
326019,Pizza,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Хабаровская улица, дом 7/50"
288962,Кафе «Автовокзал»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 75"
289327,Натахтари,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 75"
270448,Чайхана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 85, корпус 1"
272224,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 87, корпус 1"
367710,Трапеза,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 2-й Кожевнический переулок, дом 6"
356429,Антикафе «Кино Лето»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 2-й Кожуховский проезд, дом 29, корпус 2, строение 19"
299039,Чайхана «Боорсок»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 17, корпус 1"
353087,Изюм,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 23, корпус 7"
312073,Beersenev Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 23, строение 931"
365259,Coffee Fesenko,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 4"
263174,Столовая (налоговая),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Большая Тульская улица, дом 15"
28501,Авлабар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Велозаводская улица, дом 6"
351861,КОФЕПОРТ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Дербеневская набережная, дом 7, строение 8"
287494,Кафе «Салхино»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Дербеневская улица, дом 24, строение 3"
369358,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Духовской переулок, дом 14"
319169,Бар «Beersach»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Кожевническая улица, дом 14, корпус 1"
222779,Прайм Биф,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Мытная улица, дом 74"
266586,Matcha Botanicals,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Мытная улица, дом 74"
296292,Crab Meet,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Мытная улица, дом 74"
293513,Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Трофимова, дом 3"
306078,LOKAL BEER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Лобненская улица, дом 13, корпус 1"
269389,SPOON & DAGGER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, 2-й Рощинский проезд, дом 8"
309887,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, 5-й Донской проезд, дом 19, строение 2"
271106,ВИНО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 18, корпус 2"
375323,Чайхана 24,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 33, строение 12"
308877,МАНГАЛ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 7, корпус 1"
365272,Vito Pizza (пицца),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Вавилова, дом 3"
277122,Мята Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Орджоникидзе, дом 11, строение 4"
362621,Кафе Истанбул Кебаб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 30/12"
373312,Carls Jr.,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 34, строение 3"
289834,ТАКЭ ДО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 17"
284079,Правdа кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 36, строение 10"
218439,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 36, строение 3"
283224,Exspresso Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 36, строение 6"
322944,Хлеб&Co,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Студенческая улица, дом 26"
259806,Market Place и sushi poke,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
288532,Панда Экспресс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
296382,МОРЕКОФЕОКЕАН BY ERWIN,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
348720,SOUL IN THE BOWL,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
372926,ЧАО ПИЦЦА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
328892,Три Бобра,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Серпуховская улица, дом 46, строение 34"
296630,URBAN ROASTER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Серпуховская улица, дом 48, строение 1"
325799,Хмель и солод,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Серпуховская улица, дом 48, строение 1"
291235,FINCH COFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Серпуховская улица, дом 5"
361611,Пекарня Диана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Татарская улица, дом 20, строение 2"
349341,Молния,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевническая улица, дом 5"
254481,ПРАВDА Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевнический проезд, дом 4/5, строение 5"
337211,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Люсиновская улица, дом 2, строение 1"
